timestamp,source_ip,destination_ip,protocol,length,eth_src_mac,eth_dst_mac,eth_type,ip_version,ip_ttl,ip_flags,src_port,dst_port,tcp_flags,app_protocol,source,destination,prediction,distance
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9534585550527446
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.9505736893299173
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7086269478661393
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9562163261555487
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.956419035609248
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7091347193902386
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.952077383101289
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.9536080854366886
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7111920564157803
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9538904025521429
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.9536829371356657
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7100766216571646
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9536756329010292
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.9530777634061773
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.709756440207134
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,0x010 (ACK),,208.89.74.23,10.212.134.200,normal,1.9518532167213825
2025-04-13 19:46:59,208.89.74.23,10.212.134.200,TCP,1406,00:09:0f:aa:00:02,,IPv4 (0x0800),,55,,,54740,"0x018 (PSH, ACK)",,208.89.74.23,10.212.134.200,normal,1.949644740246639
2025-04-13 19:46:59,10.212.134.200,208.89.74.23,TCP,66,00:09:0f:aa:00:01,,IPv4 (0x0800),,128,,,80,0x010 (ACK),,10.212.134.200,208.89.74.23,normal,1.7069913109464732
