timestamp,source_ip,destination_ip,protocol,length,eth_src_mac,eth_dst_mac,eth_type,ip_version,ip_ttl,ip_flags,app_protocol,src_port,dst_port,tcp_flags,source,destination,prediction,distance
2025-04-13 19:44:44,172.217.16.195,192.168.178.91,TCP,54,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,123,,,,54319,"0x011 (FIN, ACK)",172.217.16.195,192.168.178.91,normal,1.709001517875985
2025-04-13 19:44:44,192.168.178.91,172.217.16.195,TCP,54,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,,,80,0x010 (ACK),192.168.178.91,172.217.16.195,normal,1.7067702939580478
2025-04-13 19:44:44,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1,normal,1.675116259850943
2025-04-13 19:44:44,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91,normal,1.6716300928623717
2025-04-13 19:44:45,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,,normal,1.2870081549016037
2025-04-13 19:44:45,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,,normal,1.2886691106739452
2025-04-13 19:44:45,192.168.178.91,192.168.178.24,DNS,70,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,DNS,,53,,192.168.178.91,192.168.178.24,normal,1.5085588002323382
2025-04-13 19:44:45,192.168.178.91,192.168.178.24,DNS,70,20:0b:74:19:ee:af,,IPv4 (0x0800),,128,,DNS,,53,,192.168.178.91,192.168.178.24,normal,1.506966371260639
2025-04-13 19:44:45,192.168.178.24,192.168.178.91,DNS,86,dc:a6:32:8d:70:ea,,IPv4 (0x0800),,64,,DNS,,62906,,192.168.178.24,192.168.178.91,normal,1.5058025937792723
2025-04-13 19:44:45,192.168.178.24,192.168.178.91,DNS,86,dc:a6:32:8d:70:ea,,IPv4 (0x0800),,64,,DNS,,62906,,192.168.178.24,192.168.178.91,normal,1.5082837517643024
2025-04-13 19:44:45,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1,normal,1.6747682821719239
2025-04-13 19:44:45,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91,normal,1.6721304134560069
2025-04-13 19:44:46,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1,normal,1.6739794660264287
2025-04-13 19:44:47,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91,normal,1.6746381571062006
2025-04-13 19:44:47,,,HOMEPLUG-AV,60,2c:91:ab:d1:09:4b,,Homeplug AV (0x88e1),,,,HOMEPLUG,,,,,,normal,1.2912767412115815
2025-04-13 19:44:47,,,DATA,60,2c:91:ab:d1:09:4b,,Unknown (0x8912),,,,,,,,,,normal,1.2861079588202313
2025-04-13 19:44:48,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1,normal,1.6703531731581964
2025-04-13 19:44:48,168.95.246.1,192.168.178.91,ICMP,58,2c:91:ab:d1:09:4b,,IPv4 (0x0800),,54,,ICMP,,,,168.95.246.1,192.168.178.91,normal,1.6717382030556318
2025-04-13 19:44:49,192.168.178.91,168.95.246.1,ICMP,58,20:0b:74:19:ee:af,,IPv4 (0x0800),,255,,ICMP,,,,192.168.178.91,168.95.246.1,normal,1.6731535772248929
