timestamp,source,destination,protocol,length,prediction,distance
2025-04-13 19:41:42,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8635485102790803
2025-04-13 19:41:52,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8612771803791162
2025-04-13 19:42:02,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8630969393655292
2025-04-13 19:42:12,192.168.56.1,239.255.255.250,SSDP,209,normal,1.859877422760065
2025-04-13 19:42:22,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8648985141756342
2025-04-13 19:42:32,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8614520806481913
2025-04-13 19:42:42,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8611082067127025
2025-04-13 19:42:52,192.168.56.1,239.255.255.250,SSDP,209,normal,1.860058456927364
2025-04-13 19:43:02,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8621515701600828
2025-04-13 19:43:12,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8608421236962858
2025-04-13 19:43:22,192.168.56.1,239.255.255.250,SSDP,209,normal,1.864299819997137
2025-04-13 19:43:32,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8600371006279715
2025-04-13 19:43:42,192.168.56.1,239.255.255.250,SSDP,209,normal,1.862006469211345
2025-04-13 19:43:52,192.168.56.1,239.255.255.250,SSDP,209,normal,1.864060925427588
2025-04-13 19:43:56,,,SSDP,157,normal,1.8589310940400405
2025-04-13 19:43:56,192.168.56.1,239.255.255.250,SSDP,143,normal,1.8582078165748186
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,75,normal,1.507572458403531
2025-04-13 19:43:56,,,MDNS,95,normal,1.5074287896380096
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,77,normal,1.5092061109135329
2025-04-13 19:43:56,,,MDNS,97,normal,1.5093638772158235
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,78,normal,1.5093264706157594
2025-04-13 19:43:56,,,MDNS,98,normal,1.507094410548774
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,75,normal,1.5079596708242662
2025-04-13 19:43:56,,,MDNS,95,normal,1.5097418853255513
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,76,normal,1.5077530009398006
2025-04-13 19:43:56,,,MDNS,96,normal,1.5099675288237933
2025-04-13 19:43:56,,,XML,686,normal,1.3657201043840677
2025-04-13 19:43:56,192.168.56.1,239.255.255.250,XML,666,normal,1.3675741136239496
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2902276882301464
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2882091446270731
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2917973224606563
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2921034201213113
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2899308243503116
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2898380931636204
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.291739617285015
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2919747894326767
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2872639618879735
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.286376643045641
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2891869002396343
2025-04-13 19:43:56,192.168.56.1,192.168.56.255,DATA,70,normal,1.288862790853875
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2870806834790869
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2878117572415726
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2879506956098246
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2866150798649993
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2861435768458236
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2885157950576098
2025-04-13 19:43:56,192.168.56.1,192.168.56.255,DATA,70,normal,1.2879358967158208
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.286927902902225
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2924797195693798
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,56,normal,1.290074104037339
